id,city_id,code,title
1,1,BESCOM,"Bangalore Electricity Supply Company"
2,1,BWSSB,"Bangalore Water Supply And Sewerage Board"
3,1,DFCSCA,"Department Of Food, Civil Supplies & Consumer Affairs"
4,1,BCP,"Bangalore City Police"
5,1,BTP,"Bangalore Traffic Police"
6,1,BDA,"Bangalore Development Authority"
7,1,KSPCB,"Karnataka State Pollution Control Board"
8,1,BMTC,"Bangalore Metropolitan Transport Corporation"
9,1,BMRDA,"Bangalore Metropolitan Region Development Authority"
10,1,BBMP,"Bruhat Bengaluru Mahanagara Palike"
11,1,KSFES,"Karnataka State Fire And Emergency Services"
12,1,KHB,"Karnataka Housing Board"
13,1,BSNL,"Bharat Sanchar Nigam Limited"
14,1,ESPANDANA,Ejanaspandana
15,1,KSRTC,"Karnataka State Regional Transport Corporation"
16,4,PWD,"Public Works Department"
17,4,MCDNORTH,"North Delhi Municipal Corporation"
18,4,MCDSOUTH,"South Delhi Municipal Corporation"
19,4,MCDEAST,"East Delhi Municipal Corporation"
21,7,NMC,"Nellore Municipal Corporation"
22,2,MCGM,"Municipal Corporation Of Greater Mumbai"
23,2,MEB,"Mumbai Electricty Board"
24,2,MMRDA,"Mumbai Metropolitan Regional Development Authority"
25,2,MP-MTP,"Mumbai Police"
26,2,MPCB,"Maharastra Pollution Control Board"
27,2,MFS,"Maharastra Fire Service"
28,2,MRVC,"Mumbai Railway Vikas Corporation"
29,9,MNN,"Meerut Nagar Nigam"
30,9,MP,"Meerut Police"
31,9,FDM,"Fire Dept Meerut"
32,9,MPCB,"Meerut Pollution Control Board"
33,9,MDA,"Meerut Development Authority"
34,9,MTP,"Meerut Traffic Police"
35,9,PVVNL,"Paschimanchal Vidyut Vitran Nigam"
