id,title,description
id,title,description
1,Open,"This The Default Status Of Complaint When The User Posted A Complaint"
2,On-the-Job,"This Status Indicates In-progress"
3,Resolved,"This Indicates Complaint Has Been Successfully Resolves\d"
4,Re-opened,"This Means Users Can Re-open That Particular Complaint Again"
5,Escalated,"This Is The Escalated Status"
6,"Forworded to Agency","This Status Indicates The Complaint Has Been Forworded To Agency"
7,Re-directed,"This Status Indicates Redirected Status"
8,"Needs more user details",""
9,Closed,"This Is The Closed Status"
10,"Wrong Info by user","Wrong Information"
11,"Closed ","Bulk Closed"
12,Closed,"Publiceye Closed - Registration Number Of The Vehicle Is Not Clear"
13,Closed,"Publiceye Closed - Details Of The Violation Is Insufficient In The Picture"
14,Closed,"Publiceye Closed - Picture Is Not Relevant"
15,Closed,"Publiceye Closed - Other State Registration Number"
16,Closed,"Publiceye Closed - No Images Captured"
17,Closed,"Public Eye Closed - Not Violation"
18,"Yet to search - Engineer","This Status Indicates Engineer Not Yet Found To Assign Complaint"
19,"Officer not responding",""
20,"Wrong info engineer",""
21,Deffered,"Indicates Complaint Takes So Long Time"
22,"Citizen not responding",""
23,Closed,"Publiceye Closed - This Violation Has Already Been Reported"
